cc_code,prov_th,prov_en,region,northeast,pop,sex_ratio,hh_size,pop_growth_pct,gpp_pc,log_gpp_pc
56,จังหวัดพะเยา,Phayao,North,0,451964,93.76806002143623,2.1763043216564344,-3.293420861185048,109274.513315,11.601618465958156
57,จังหวัดเชียงราย,Chiang Rai,North,0,1295922,93.83200215381854,2.1468920376325116,0.06918780009050884,102987.937233,11.542367146110646
58,จังหวัดแม่ฮ่องสอน,Mae Hong Son,North,0,288757,102.11312461065731,2.2962418092753993,1.4788314139216885,69828.105827,11.153791869981701
60,จังหวัดนครสวรรค์,Nakhon Sawan,Central,0,1008362,94.48763768851103,2.2804281504632717,-3.07082133368195,139183.522208,11.843548644933062
61,จังหวัดอุทัยธานี,Uthai Thani,Central,0,318968,95.07791667685984,2.3873956812993526,-2.1174217781433025,123946.02164,11.727601440457713
62,จังหวัดกำแพงเพชร,Kamphaeng Phet,Central,0,696972,96.86861810755616,2.367745727185327,-2.4010037556818298,155403.982012,11.953783340860232
63,จังหวัดตาก,Tak,West,0,704494,102.0581714511887,2.8611681950728194,5.106786121907003,121536.915404,11.707973326101202
64,จังหวัดสุโขทัย,Sukhothai,Central,0,569262,93.37396054133377,2.461865139773042,-3.167466995983892,93208.177025,11.442590733144819
65,จังหวัดพิษณุโลก,Phitsanulok,Central,0,835480,95.08345241764502,2.2144767427991336,-1.648182831634848,124884.328972,11.735143219642946
66,จังหวัดพิจิตร,Phichit,Central,0,513150,94.67069298441952,2.455098701522386,-3.599406360955082,105054.321439,11.562232842399915
67,จังหวัดเพชรบูรณ์,Phetchabun,Central,0,954417,96.4168556575855,2.47360823139125,-2.8029207487219154,100935.544438,11.52223741822258
70,จังหวัดราชบุรี,Ratchaburi,West,0,861879,94.00110294531417,2.4212600747830533,-0.8551580385890878,231516.232588,12.352405269220817
71,จังหวัดกาญจนบุรี,Kanchanaburi,West,0,896673,99.53691443932378,2.3895095055615663,0.5265836748970854,153662.33435,11.942512839963138
72,จังหวัดสุพรรณบุรี,Suphan Buri,Central,0,817849,92.59956150782904,2.4953059449893975,-2.477737447354489,124482.357043,11.731919274347026
73,จังหวัดนครปฐม,Nakhon Pathom,Bangkok and Vicinity,0,926318,91.88914852010208,2.0595416758380414,0.6070190034201062,316635.793919,12.665507477268505
74,จังหวัดสมุทรสาคร,Samut Sakhon,Bangkok and Vicinity,0,587367,91.88979927865768,1.7915177209784665,0.1992497428347617,374055.765648,12.832160171292168
